model,model_gen,model_spec,trim,year,asking_price,miles_driven,fuel,seller_type,num_previous_owners,mileage,engine,max_power,torque,engine_max_power_torque
Indica,V2,V2 DLE BSIII,,2007,3250,74545.45455,Diesel,Individual,3,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLS,,2007,3500,68333.33333,Diesel,Individual,2,17.2 kmpl,1396 CC,54 bhp,85Nm @ 2500rpm,1396 54 85@2500
Indica,V2,V2 DLS,,2007,4250,93181.81818,Diesel,Individual,2,17.2 kmpl,1396 CC,54 bhp,85Nm @ 2500rpm,1396 54 85@2500
Indica,V2,V2 DLS,,2007,3250,74545.45455,Diesel,Individual,3,17.2 kmpl,1396 CC,54 bhp,85Nm @ 2500rpm,1396 54 85@2500
Indica,V2,V2 DLS TC,,2007,4000,68333.33333,Diesel,Individual,3,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLX,,2007,2962.95,64606.06061,Diesel,Individual,2,17.2 kmpl,1396 CC,54 bhp,85@ 2500,1396 54 8.5@2500
Indigo,CS,CS GLX BS-III,,2008,12500,62121.21212,Petrol,Individual,1,15.2 kmpl,1193 CC,65 bhp,110Nm @ 3500 rpm,1193 65 110@3500
Indigo,CS LE (TDI) BS-III,CS LE (TDI) BS-III,,2008,4950,127348.4848,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LE (TDI) BS-III,CS LE (TDI) BS-III,,2008,5000,74545.45455,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2008,7000,74545.45455,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2008,5000,74545.45455,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,Grand,Grand Petrol,,2008,6750,24848.48485,Petrol,Individual,4,12.85 kmpl,1396 CC,100 bhp,124Nm@ 3500rpm,1396 100 124@3500
Indigo,LS,LS,,2008,7500,37272.72727,Diesel,Individual,3,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2008,4250,74545.45455,Diesel,Individual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2008,6000,62121.21212,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,V2,V2 2001-2011 DLS BSIII,,2008,3000,74545.45455,Diesel,Individual,4,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DiCOR DLG BS-III,,2008,2500,74545.45455,Diesel,Individual,3,17.5 kmpl,1396 CC,70 bhp,"140Nm @ 1,800rpm",1405 70 140@1800
Indica,V2,V2 DLG TC,,2008,8750,74545.45455,Diesel,Individual,3,16.8 kmpl,1405 CC,68 bhp,130Nm@ 2500rpm,1405 68 130@2500
Indica,V2,V2 DLS,,2008,3250,68333.33333,Diesel,Individual,2,17.2 kmpl,1396 CC,54 bhp,85Nm @ 2500rpm,1396 54 85@2500
Indica,V2,V2 DLS TC,,2008,5000,24848.48485,Diesel,Individual,1,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLS TC,,2008,3500,62121.21212,Diesel,Individual,1,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,V2,V2 DLX,,2008,3350,49696.9697,Diesel,Individual,2,17.2 kmpl,1396 CC,54 bhp,85@ 2500,1396 54 8.5@2500
Indica,V2,V2 DLX TC,,2008,2250,37272.72727,Diesel,Individual,2,16.8 kmpl,1405 CC,68 bhp,"13@ 2,500(kgm@ rpm)",1405 68 13@2500
Indica,V2,V2 GLX BSIII,,2008,3250,31060.60606,Petrol,Individual,2,15.3 kmpl,1396 CC,70 bhp,122Nm@ 2600rpm,1396 70 122@2600
Indica,V2,V2 LSi,,2008,4250,15530.30303,Petrol,Individual,2,16.84 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2009,7000,74545.45455,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2009,5749.95,74545.45455,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2009,8000,43484.84848,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2009,7500,18636.36364,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indica,GLS,GLS BS IV,,2009,5500,70196.9697,Petrol,Individual,1,15.3 kmpl,1193 CC,65 bhp,102Nm@ 2600rpm,1193 65 102@2600
Indigo,LS,LS,,2009,6750,85106.06061,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2009,4250,49696.9697,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,V2,V2 2001-2011 DLS BSIII,,2009,4400,125391.6667,Diesel,Individual,2,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 2001-2011 DLS BSIII,,2009,4500,74545.45455,Diesel,Individual,2,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DL,,2009,4750,49696.9697,Diesel,Individual,2,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLE BSII,,2009,2250,62121.21212,Diesel,Individual,2,17.2 kmpl,1396 CC,53.5 bhp,85Nm@ 2500rpm,1396 53.5 85@2500
Indica,V2,V2 DLE BSIII,,2009,4500,37272.72727,Diesel,Individual,2,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLS,,2009,4000,68333.33333,Diesel,Individual,2,17.2 kmpl,1396 CC,54 bhp,85Nm @ 2500rpm,1396 54 85@2500
Indica,V2,V2 DLS TC,,2009,4500,73303.0303,Diesel,Individual,2,16.8 kmpl,1405 CC,62 bhp,135 @ 3500,1405 62 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2009,6000,74545.45455,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2009,5000,118030.303,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2009,7600,29818.18182,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Terra 1.4 TDI,,2009,6250,62121.21212,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indica,Vista,Vista Terra 1.4 TDI,,2009,6750,68333.33333,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indica,Vista,Vista Terra 1.4 TDI,,2009,8500,34643.75758,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indigo,CS,CS eLX BS IV,,2010,16000,26090.90909,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2010,10000,37272.72727,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2010,7500,43484.84848,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS DiCOR,CS LS DiCOR,,2010,7500,43484.84848,Diesel,Individual,3,15.7 kmpl,1405 CC,70 bhp,"140Nm @1,800rpm",1405 70 140@1800
Indigo,CS LX (TDI) BS-III,CS LX (TDI) BS-III,,2010,10000,108712.1212,Diesel,Individual,1,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS,CS LX DiCOR,,2010,7000,24848.48485,Diesel,Individual,1,16.6 kmpl,1405 CC,70 bhp,140Nm@1800rpm,1405 70 140@1800
Indigo,eCS,eCS GLX,,2010,14500,40378.78788,Petrol,Individual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,eCS,eCS GLX,,2010,14500,40378.78788,Petrol,Individual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,eCS,eCS LE TDI BS-III,,2010,6750,91939.39394,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,LS,LS,,2010,6000,62121.21212,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2010,6500,74545.45455,Diesel,Individual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LX,LX,,2010,7500,55909.09091,Diesel,Individual,1,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,Vista,Vista Aqua 1.3 Quadrajet,,2010,8750,37272.72727,Diesel,Individual,1,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750  rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.3 Quadrajet (ABS),,2010,9000,54045.45455,Diesel,Individual,1,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.4 TDI,,2010,6250,74545.45455,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2010,10000,68333.33333,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aura 1.2 Safire (ABS) 90hp BS IV,,2010,7500,18015.15152,Petrol,Individual,1,16.5 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,1172 65 96@3000
Indica,Vista,Vista Aura 1.2 Safire (ABS) 90hp BS IV,,2010,15000,29818.18182,Petrol,Individual,1,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,1172 65 96@3000
Indica,Vista,Vista Aura 1.3 Quadrajet,,2010,12500,23571.27273,Diesel,Individual,1,18.4 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indica,Vista,Vista Aura Plus 1.3 Quadrajet BS IV,,2010,11499.95,86969.69697,Diesel,Individual,1,18.4 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indica,Vista,Vista Terra 1.4 TDI,,2010,8500,68333.33333,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indica,Vista,Vista Terra 1.4 TDI,,2010,9000,74545.45455,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indica,Vista,Vista Terra Quadrajet 1.3L,,2010,5250,74545.45455,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indica,Vista,Vista Terra Quadrajet 1.3L,,2010,5550,62121.21212,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indigo,eCS,CR4,,2011,10000,52381.22727,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2011,9450,43484.84848,Diesel,Individual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2011,10000,43484.84848,Diesel,Individual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2011,7650,31060.60606,Diesel,Individual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2011,10500,108712.1212,Diesel,Individual,2,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,CS,CS eGLX BS IV,,2011,7500,31060.60606,Petrol,Individual,2,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,CS,CS eGLX BS IV,,2011,9050,43484.84848,Petrol,Individual,1,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,CS,CS eGLX BS IV,,2011,4500,55909.09091,Petrol,Individual,2,15.64 kmpl,1193 CC,64 bhp,100Nm@ 2700rpm,1193 64 100@2700
Indigo,CS,CS eLX BS IV,,2011,7500,74545.45455,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2011,11000,49696.9697,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS GLS BS-III,,2011,6000,43484.84848,Petrol,Individual,2,15.2 kmpl,1193 CC,65 bhp,100Nm @ 1800 rpm,1193 65 100@1800
Indigo,eCS,eCS LX BSIV,,2011,10750,43484.84848,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,eCS,eCS LX BSIV,,2011,10500,108712.1212,Diesel,Individual,2,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,GLX,GLX,,2011,7500,93181.81818,Petrol,Individual,1,12.8 kmpl,1396 CC,85 bhp,"120@ 3,500rpm",1396 85 120@3500
Indigo,LS,LS,,2011,8750,53237.87879,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indigo,LS,LS,,2011,8750,53237.87879,Diesel,Individual,2,17.0 kmpl,1405 CC,70 bhp,135Nm @2500rpm,1405 70 135@2500
Indica,V2,V2 2001-2011 eLX,,2011,6500,55909.09091,Diesel,Individual,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 2001-2011 eLX,,2011,8250,46590.90909,Diesel,Dealer,2,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indica,V2,V2 DL BSIII,,2011,3750,87280.30303,Diesel,Individual,3,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLE BSIII,,2011,5749.95,106848.4848,Diesel,Individual,2,17.88 kmpl,1396 CC,53 bhp,85Nm@ 2500rpm,1396 53 85@2500
Indica,V2,V2 DLS,,2011,5000,49696.9697,Diesel,Individual,1,17.2 kmpl,1396 CC,54 bhp,85Nm @ 2500rpm,1396 54 85@2500
Indica,V2,V2 DLX BSII,,2011,5500,31060.60606,Diesel,Individual,1,17.2 kmpl,1396 CC,54 bhp,85@ 2500,1396 54 8.5@2500
Indica,Vista,Vista Aqua 1.3 Quadrajet,,2011,6250,52803.0303,Diesel,Individual,2,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750  rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.3 Quadrajet BSIV,,2011,6500,33545.45455,Diesel,Individual,2,18.4 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aqua 1.4 TDI,,2011,10000,68333.33333,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2011,7600,49696.9697,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2011,12400,49696.9697,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua 1.4 TDI,,2011,7000,124242.4242,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua TDI BSIII,,2011,10000,31060.60606,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aqua TDI BSIII,,2011,10000,124242.4242,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135 Nm at 2500  rpm,1405 71 135@2500
Indica,Vista,Vista Aura 1.2 Safire (ABS) 90hp BS IV,,2011,7500,43484.84848,Petrol,Individual,2,16.5 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,1172 65 96@3000
Indica,Vista,Vista Aura 1.2 Safire BSIV,,2011,6500,43484.84848,Petrol,Individual,2,16.5 kmpl,1172 CC,65 bhp,96  Nm at 3000  rpm,1172 65 96@3000
Indica,Vista,Vista Aura 1.3 Quadrajet,,2011,5000,49696.9697,Diesel,Individual,1,18.0 kmpl,1248 CC,75 bhp,190 Nm at 1750 rpm,1248 75 190@1750
Indica,Vista,Vista Aura 1.3 Quadrajet,,2011,9000,74545.45455,Diesel,Individual,2,18.4 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indica,Vista,Vista TDI LS,,2011,5500,74545.45455,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LS,,2011,7500,74545.45455,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2011,10500,62121.21212,Diesel,Individual,1,19.1 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2011,10500,74545.45455,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista TDI LX,,2011,17500,49696.9697,Diesel,Individual,1,19.4 kmpl,1405 CC,70 bhp,135Nm@ 2500rpm,1405 70 135@2500
Indica,Vista,Vista Terra 1.4 TDI,,2011,10000,49696.9697,Diesel,Individual,1,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indica,Vista,Vista Terra Quadrajet 1.3L,,2011,9000,54045.45455,Diesel,Individual,1,18.0 kmpl,1248 CC,75 bhp,190Nm@ 1750rpm,1248 75 190@1750
Indica,Vista,Vista Terra TDI BSIII,,2011,3500,49696.9697,Diesel,Individual,2,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,1405 71 135@2500
Indigo,eCS,eCS CR4,,2012,15000,24848.48485,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2012,10000,55909.09091,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2012,10000,142878.7879,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,eCS,eCS CR4,,2012,11499.95,115545.4545,Diesel,Individual,1,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800rpm,1396 70 140@1800
Indigo,CS,CS eLS BS IV,,2012,11000,55909.09091,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLS BS IV,,2012,11000,55909.09091,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2012,12950,21742.42424,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2012,12950,21742.42424,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eLX BS IV,,2012,7750,31060.60606,Diesel,Individual,1,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS,CS eVX,,2012,15000,74545.45455,Diesel,Individual,1,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800rpm,1396 69 140@1800
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2012,8400,118030.303,Diesel,Individual,2,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
Indigo,CS LS (TDI) BS-III,CS LS (TDI) BS-III,,2012,8500,74545.45455,Diesel,Individual,3,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,1396 69 135@2500
